place_slug,contract_no,contract_title,department_code,prime_contractor,agreed_usd,paid_usd,match_evidence
camp-mather,1000005624,EMERGENCY CAMP MATHER TREES,REC,CROOK LOGGING INC,1600000,1600000,Camp Mather
camp-mather,1000022653,CON21-0042E Emerg Camp Mather,REC,CROOK LOGGING INC,975000,972000,Camp Mather
camp-mather,1000012148,REC-CON19-009 Camp Mather Birc,REC,AQUATIC ENVIRONMENTS INC,17995,17995,Camp Mather
coit-tower,1000029988,REC-Tong-CON23-0026 Coit Tower,REC,T & T ELECTRIC CORP,55000,55000,Coit Tower
coit-tower,1000005566,ROOF REPLACEMENT - COIT TOWER,REC,NICOLE'S WORK INC,240591.89,0,Coit Tower
conservatory-of-flowers,1000012367,ADMNB-Conservatory of Flowers,ADM,SAN FRANCISCO PARKS ALLIANCE,60000,49960.61,Conservatory of Flowers
davies-symphony-hall,1000010915,PW Davies Symphony Hall Elev,DPW,KONE INC,699915,633380.02,Davies Symphony Hall
ferry-building,1000005328,*2627*  FERRY BUILDING PHASE 1,PRT,A ANSWER INC,34650,0,Ferry Building
fishermans-wharf,1000031831,ECN Fisherman's Wharf Retail,ECN,FISHERMAN'S WHARF ASSOCIATION OF SF,30000,17040,Fisherman's Wharf
glen-canyon-park,1000019774,ADMNB-Glen Park Greenway Trail,ADM,SAN FRANCISCO PARKS ALLIANCE,174750,174750,Glen Park
glen-canyon-park,1000023968,CON22-0006 Glen Park Cyn Boos,REC,TREATY CONSTRUCTION,122011,158629.5,Glen Park
glen-canyon-park,1000008296,CCG-Glen Park Greenway,ADM,SAN FRANCISCO PARKS ALLIANCE,70173,59793.19,Glen Park
glen-canyon-park,1000014524,REC-Tong-CON19-0107 Glen Park,REC,WEST COAST TURF,10450,10450,Glen Park
hetch-hetchy,1000033261,Auto Parts for Hetch Hetchy,ADM,Pine Mountain Auto Inc,300000,28748.78,Hetch Hetchy
hetch-hetchy,1000000576,HH-885R-O'SHAUGHNESSY DAM ELEC,PUC,PROVEN MANAGEMENT INC,737418,0,O'Shaughnessy Dam
hetch-hetchy,1000000579,O'SHAUGHNESSY DAM DISCHARGE MO,PUC,A RUIZ CONSTRUCTION CO AND ASSOC INC,3548364.96,0,O'Shaughnessy Dam
hetch-hetchy,1000000584,O'SHAUGHNESSY DAM DRUM GATE AU,PUC,BIG VALLEY ELECTRIC,769082,0,O'Shaughnessy Dam
laguna-honda-hospital,1000027817,Laguna Honda QIE Services,DPH,"Health Services Advisory Group, Inc",2685107,2684976.55,Laguna Honda
laguna-honda-hospital,1000019742,ADMNB-Laguna Honda C Trail Pro,ADM,SAN FRANCISCO PARKS ALLIANCE,62618,62600.98,Laguna Honda
laguna-honda-hospital,1000007318,Medical Clowning services for Laguna Honda Hospital,DPH,MEDICAL CLOWN PROJECT INC,53760,42000,Laguna Honda Hospital
laguna-honda-hospital,1000017471,Temporary meal provision for Laguna Honda Hospital,DPH,FoodService Partners LLC,3000000,285.6,Laguna Honda Hospital
lake-merced,1000032059,PW Lake Merced Trail Imp,DPW,TREATY CONSTRUCTION,1103757.3,1519365.91,Lake Merced
lake-merced,1000031294,REC-CON24-0013 - LAKE MERCED S,REC,"CAZADORO CONSTRUCTION, INC",436362.39,452036.25,Lake Merced
lake-merced,1000000499,LAKE MERCED PMP STN ESSENTIAL,PUC,WESTERN WATER CONSTRUCTORS INC,13339297.12,203522.65,Lake Merced
lake-merced,1000009977,PUC MOA LAKE MERCED GOLF CLUB,PUC,Lake Merced Golf Club,198955,198955,Lake Merced
lake-merced,1000037576,Lake Merced Restroom,REC,PUBLIC RESTROOM COMPANY,270813,0,Lake Merced
mclaren-park,1000024819,ADMNB-VVGP-Goal McLaren Park,ADM,SAN FRANCISCO PARKS ALLIANCE,172500,172500,McLaren Park
mclaren-park,1000005633,CON16-050 MCLAREN PARK BIKE PU,REC,BELLFREE CONTRACTORS INC,158997,158997,McLaren Park
mission-dolores-park,1000025304,TC69600 REC Dolores Park Eco P,REC,Race to Zero Waste,450000,293646.5,Dolores Park
mission-dolores-park,1000011026,REC-CON18-024-Dolores Park,REC,MICROBIZ SECURITY CO INC,51974.845,78184.49,Dolores Park
pier-27-cruise-terminal,1000012287,PRT CT-2787R PIER 27 SHELTER,PRT,G.Y. ENGINEERING CO,509331.79,843259.62,Pier 27
pier-70,1000005323,PRT-LDDA -Pier 70 Shipyard,PRT,HISTORIC PIER 70 LLC,9989000,7827325.29,Pier 70
pier-70,1000038434,READM-RED Apprai Pier 70,ADM,MATEO ADVISORS LLC,3900,0,Pier 70
pier-70,1000005311,PIER 70 HAZARDOUS MATERIALS CO,PRT,GHD INC,186236.1,0,Pier 70
pier-70,1000005285,PIER 70 WHARF 5 DEMOLITION. CT,PRT,ZACCOR COMPANIES INC,482884,0,Pier 70
portsmouth-square,1000036809,ART-PARP-Portsmouth Square AC,ART,CATHY LU STUDIO,340000,30248,Portsmouth Square
portsmouth-square,1000036810,ART-PARP-Portsmouth Square AC,ART,JENIFER KARLA WOFFORD,151000,10625,Portsmouth Square
portsmouth-square,1000037985,PW Portsmouth Square Imp Prj,DPW,SWINERTON BUILDERS,21438393,0,Portsmouth Square
randall-museum,1000001138,PW RANDALL MUSEUM RENOV,DPW,ROEBUCK CONSTRUCTION INC,4365638,1170509.5,Randall Museum
randall-museum,1000010210,REC-CON18-039 Randall Museum,REC,MOBILE MODULAR MANAGEMENT CORP,19925.27,0,Randall Museum
