annee,section,sens_flux,chapitre_code,chapitre_libelle,nature_code,nature_libelle,fonction_code,montant,source_page,source_pdf
2020,Investissement,Dépense,900,Services généraux,203,"Frais d'études, recherche, développement",020,5752520.0,120,bp-2020-editique-bg-avec-est-q1et.pdf
2020,Investissement,Dépense,900,Services généraux,203,"Frais d'études, recherche, développement",024,2500.0,120,bp-2020-editique-bg-avec-est-q1et.pdf
2020,Investissement,Dépense,900,Services généraux,203,"Frais d'études, recherche, développement",025,50000.0,120,bp-2020-editique-bg-avec-est-q1et.pdf
2020,Investissement,Dépense,900,Services généraux,203,"Frais d'études, recherche, développement",028,90600000.0,120,bp-2020-editique-bg-avec-est-q1et.pdf
2020,Investissement,Dépense,900,Services généraux,204,Subventions d'équipement versées,020,300000.0,120,bp-2020-editique-bg-avec-est-q1et.pdf
2020,Investissement,Dépense,900,Services généraux,204,Subventions d'équipement versées,024,30000.0,120,bp-2020-editique-bg-avec-est-q1et.pdf
2020,Investissement,Dépense,900,Services généraux,204,Subventions d'équipement versées,028,5750000.0,120,bp-2020-editique-bg-avec-est-q1et.pdf
2020,Investissement,Dépense,900,Services généraux,205,"Licences, procédés, droits similaires",020,8973000.0,120,bp-2020-editique-bg-avec-est-q1et.pdf
2020,Investissement,Dépense,900,Services généraux,212,Agencements et aménagements de terrains,025,1000000.0,120,bp-2020-editique-bg-avec-est-q1et.pdf
2020,Investissement,Dépense,900,Services généraux,213,Constructions,025,180000.0,120,bp-2020-editique-bg-avec-est-q1et.pdf
2020,Investissement,Dépense,900,Services généraux,215,"Installat°, matériel, outillage techniq.",020,600000.0,120,bp-2020-editique-bg-avec-est-q1et.pdf
2020,Investissement,Dépense,900,Services généraux,215,"Installat°, matériel, outillage techniq.",025,50000.0,120,bp-2020-editique-bg-avec-est-q1et.pdf
2020,Investissement,Dépense,900,Services généraux,218,Autres immobilisations corporelles,020,14259200.0,120,bp-2020-editique-bg-avec-est-q1et.pdf
2020,Investissement,Dépense,900,Services généraux,218,Autres immobilisations corporelles,022,120000.0,120,bp-2020-editique-bg-avec-est-q1et.pdf
2020,Investissement,Dépense,900,Services généraux,218,Autres immobilisations corporelles,024,120000.0,120,bp-2020-editique-bg-avec-est-q1et.pdf
2020,Investissement,Dépense,900,Services généraux,218,Autres immobilisations corporelles,025,110000.0,120,bp-2020-editique-bg-avec-est-q1et.pdf
2020,Investissement,Dépense,900,Services généraux,231,Immobilisations corporelles en cours,020,24423000.0,120,bp-2020-editique-bg-avec-est-q1et.pdf
2020,Investissement,Dépense,900,Services généraux,231,Immobilisations corporelles en cours,024,212500.0,120,bp-2020-editique-bg-avec-est-q1et.pdf
2020,Investissement,Dépense,900,Services généraux,231,Immobilisations corporelles en cours,025,3010000.0,120,bp-2020-editique-bg-avec-est-q1et.pdf
2020,Investissement,Dépense,900,Services généraux,232,Immobilisations incorporelles en cours,020,20150000.0,120,bp-2020-editique-bg-avec-est-q1et.pdf
2020,Investissement,Dépense,900,Services généraux,238,Avances commandes immo corporelles,020,3400000.0,120,bp-2020-editique-bg-avec-est-q1et.pdf
2020,Investissement,Recette,900,Services généraux,132,Subv inv rattachées aux actifs non amort,020,270000.0,120,bp-2020-editique-bg-avec-est-q1et.pdf
2020,Investissement,Recette,900,Services généraux,132,Subv inv rattachées aux actifs non amort,025,233000.0,120,bp-2020-editique-bg-avec-est-q1et.pdf
2020,Investissement,Dépense,900,Services généraux,218,Autres immobilisations corporelles,031,150000.0,121,bp-2020-editique-bg-avec-est-q1et.pdf
2020,Investissement,Dépense,900,Services généraux,238,Avances commandes immo corporelles,0342,5578038.0,121,bp-2020-editique-bg-avec-est-q1et.pdf
2020,Investissement,Recette,900,Services généraux,132,Subv inv rattachées aux actifs non amort,0342,136600.0,121,bp-2020-editique-bg-avec-est-q1et.pdf
2020,Investissement,Dépense,900,Services généraux,204,Subventions d'équipement versées,041,1210053.0,122,bp-2020-editique-bg-avec-est-q1et.pdf
2020,Investissement,Dépense,901,Sécurité,204,Subventions d'équipement versées,12,11064347.0,124,bp-2020-editique-bg-avec-est-q1et.pdf
2020,Investissement,Dépense,901,Sécurité,204,Subventions d'équipement versées,18,9231653.0,124,bp-2020-editique-bg-avec-est-q1et.pdf
2020,Investissement,Dépense,901,Sécurité,205,"Licences, procédés, droits similaires",10,9000.0,124,bp-2020-editique-bg-avec-est-q1et.pdf
2020,Investissement,Dépense,901,Sécurité,205,"Licences, procédés, droits similaires",11,8000.0,124,bp-2020-editique-bg-avec-est-q1et.pdf
2020,Investissement,Dépense,901,Sécurité,213,Constructions,10,105000.0,124,bp-2020-editique-bg-avec-est-q1et.pdf
2020,Investissement,Dépense,901,Sécurité,213,Constructions,11,115000.0,124,bp-2020-editique-bg-avec-est-q1et.pdf
2020,Investissement,Dépense,901,Sécurité,215,"Installat°, matériel, outillage techniq.",11,30000.0,124,bp-2020-editique-bg-avec-est-q1et.pdf
2020,Investissement,Dépense,901,Sécurité,218,Autres immobilisations corporelles,10,196000.0,124,bp-2020-editique-bg-avec-est-q1et.pdf
2020,Investissement,Dépense,901,Sécurité,218,Autres immobilisations corporelles,11,87000.0,124,bp-2020-editique-bg-avec-est-q1et.pdf
2020,Investissement,Dépense,901,Sécurité,231,Immobilisations corporelles en cours,10,290000.0,124,bp-2020-editique-bg-avec-est-q1et.pdf
2020,Investissement,Dépense,901,Sécurité,231,Immobilisations corporelles en cours,12,2022000.0,124,bp-2020-editique-bg-avec-est-q1et.pdf
2020,Investissement,Dépense,901,Sécurité,454,Travaux effectués d'office,13,1500000.0,124,bp-2020-editique-bg-avec-est-q1et.pdf
2020,Investissement,Recette,901,Sécurité,454,Travaux effectués d'office,13,1000000.0,124,bp-2020-editique-bg-avec-est-q1et.pdf
2020,Investissement,Dépense,902,"Enseignement, formation professionnelle et apprentissage",203,"Frais d'études, recherche, développement",213,19400000.0,125,bp-2020-editique-bg-avec-est-q1et.pdf
2020,Investissement,Dépense,902,"Enseignement, formation professionnelle et apprentissage",203,"Frais d'études, recherche, développement",221,9136000.0,125,bp-2020-editique-bg-avec-est-q1et.pdf
2020,Investissement,Dépense,902,"Enseignement, formation professionnelle et apprentissage",203,"Frais d'études, recherche, développement",222,1050000.0,125,bp-2020-editique-bg-avec-est-q1et.pdf
2020,Investissement,Dépense,902,"Enseignement, formation professionnelle et apprentissage",204,Subventions d'équipement versées,221,5000000.0,125,bp-2020-editique-bg-avec-est-q1et.pdf
2020,Investissement,Dépense,902,"Enseignement, formation professionnelle et apprentissage",204,Subventions d'équipement versées,222,900000.0,125,bp-2020-editique-bg-avec-est-q1et.pdf
2020,Investissement,Dépense,902,"Enseignement, formation professionnelle et apprentissage",218,Autres immobilisations corporelles,20,348704.0,125,bp-2020-editique-bg-avec-est-q1et.pdf
2020,Investissement,Dépense,902,"Enseignement, formation professionnelle et apprentissage",218,Autres immobilisations corporelles,213,8040000.0,125,bp-2020-editique-bg-avec-est-q1et.pdf
2020,Investissement,Dépense,902,"Enseignement, formation professionnelle et apprentissage",218,Autres immobilisations corporelles,221,1350000.0,125,bp-2020-editique-bg-avec-est-q1et.pdf
2020,Investissement,Dépense,902,"Enseignement, formation professionnelle et apprentissage",231,Immobilisations corporelles en cours,20,700000.0,125,bp-2020-editique-bg-avec-est-q1et.pdf
2020,Investissement,Dépense,902,"Enseignement, formation professionnelle et apprentissage",231,Immobilisations corporelles en cours,211,1775933.0,125,bp-2020-editique-bg-avec-est-q1et.pdf
2020,Investissement,Dépense,902,"Enseignement, formation professionnelle et apprentissage",231,Immobilisations corporelles en cours,212,4612500.0,125,bp-2020-editique-bg-avec-est-q1et.pdf
2020,Investissement,Dépense,902,"Enseignement, formation professionnelle et apprentissage",231,Immobilisations corporelles en cours,213,30794983.0,125,bp-2020-editique-bg-avec-est-q1et.pdf
2020,Investissement,Dépense,902,"Enseignement, formation professionnelle et apprentissage",231,Immobilisations corporelles en cours,221,14210000.0,125,bp-2020-editique-bg-avec-est-q1et.pdf
2020,Investissement,Dépense,902,"Enseignement, formation professionnelle et apprentissage",458,Opérations sous mandat,222,500000.0,125,bp-2020-editique-bg-avec-est-q1et.pdf
2020,Investissement,Recette,902,"Enseignement, formation professionnelle et apprentissage",133,Fonds affectés à l'équipement amort.,221,5772506.0,125,bp-2020-editique-bg-avec-est-q1et.pdf
2020,Investissement,Recette,902,"Enseignement, formation professionnelle et apprentissage",458,Opérations sous mandat,222,500000.0,125,bp-2020-editique-bg-avec-est-q1et.pdf
2020,Investissement,Dépense,902,"Enseignement, formation professionnelle et apprentissage",203,"Frais d'études, recherche, développement",23,133387.0,126,bp-2020-editique-bg-avec-est-q1et.pdf
2020,Investissement,Dépense,902,"Enseignement, formation professionnelle et apprentissage",204,Subventions d'équipement versées,23,11132500.0,126,bp-2020-editique-bg-avec-est-q1et.pdf
2020,Investissement,Dépense,902,"Enseignement, formation professionnelle et apprentissage",218,Autres immobilisations corporelles,23,141968.0,126,bp-2020-editique-bg-avec-est-q1et.pdf
2020,Investissement,Dépense,902,"Enseignement, formation professionnelle et apprentissage",218,Autres immobilisations corporelles,254,90000.0,126,bp-2020-editique-bg-avec-est-q1et.pdf
2020,Investissement,Dépense,902,"Enseignement, formation professionnelle et apprentissage",231,Immobilisations corporelles en cours,23,6939415.0,126,bp-2020-editique-bg-avec-est-q1et.pdf
2020,Investissement,Dépense,902,"Enseignement, formation professionnelle et apprentissage",231,Immobilisations corporelles en cours,24,8861017.0,126,bp-2020-editique-bg-avec-est-q1et.pdf
2020,Investissement,Dépense,902,"Enseignement, formation professionnelle et apprentissage",203,"Frais d'études, recherche, développement",29,9281080.0,127,bp-2020-editique-bg-avec-est-q1et.pdf
