id,annee,arrondissement,thematique,thematique_en,nom_projet,montant,source
marseille_2024_0000,2024,13,"Écoles, petite enfance, jeunesse","Schools, early childhood, youth",Malpassé les Oliviers (13e),19300000.0,PDF_CA
marseille_2024_0001,2024,14,"Écoles, petite enfance, jeunesse","Schools, early childhood, youth",École maternelle et élémentaire Émile Vayssiere (14e),18000000.0,PDF_CA
marseille_2024_0002,2024,15,"Écoles, petite enfance, jeunesse","Schools, early childhood, youth",Aygalades-Oasis (15e),16000000.0,PDF_CA
marseille_2024_0003,2024,3,"Écoles, petite enfance, jeunesse","Schools, early childhood, youth",Simone de Beauvoir (3e),15000000.0,PDF_CA
marseille_2024_0004,2024,3,"Écoles, petite enfance, jeunesse","Schools, early childhood, youth",Édouard Vaillant (3e arr.),650000.0,PDF_CA
marseille_2024_0005,2024,4,"Écoles, petite enfance, jeunesse","Schools, early childhood, youth","Chartreux (4e arr), plus d’1 million d’euros investis",1000000.0,PDF_CA
marseille_2024_0006,2024,8,"Écoles, petite enfance, jeunesse","Schools, early childhood, youth","Bonneveine-Zenatti (8e arr.), 820 000 euros investis",820000.0,PDF_CA
marseille_2024_0007,2024,8,"Écoles, petite enfance, jeunesse","Schools, early childhood, youth","Pointe Rouge (8e arr.), 530 000 euros investis",530000.0,PDF_CA
marseille_2024_0008,2024,9,"Écoles, petite enfance, jeunesse","Schools, early childhood, youth",La Rouvière (9e arr.),500000.0,PDF_CA
marseille_2024_0009,2024,9,"Écoles, petite enfance, jeunesse","Schools, early childhood, youth","La Sauvagère (9e arr.), 750 000 euros investis",750000.0,PDF_CA
marseille_2024_0010,2024,12,"Écoles, petite enfance, jeunesse","Schools, early childhood, youth",Saint-Julien 2 (12e arr.),850000.0,PDF_CA
marseille_2024_0011,2024,14,"Écoles, petite enfance, jeunesse","Schools, early childhood, youth",Canet Jean Jaurès (14e arr.),680000.0,PDF_CA
marseille_2024_0012,2024,16,"Écoles, petite enfance, jeunesse","Schools, early childhood, youth",Maternelle Estaque Riaux (16e arr.),980000.0,PDF_CA
marseille_2024_0013,2024,0,"Écoles, petite enfance, jeunesse","Schools, early childhood, youth","Les études et travaux transverses de réhabilitation des crèches représentent 5,3 M€ en 2024 (24 millions d’euros ayant été investis depuis 2020 pour embellir et rénover l'ensemble des crèches municipales)",5300000.0,PDF_CA
marseille_2024_0014,2024,0,"Sécurité (BMPM, police, vidéo)","Security (BMPM, police, video)","dont BMPM Deuxième poste de dépense cette thématique représente 38,5 M€ de dépenses, en progression de 15,7 M€",38500000.0,PDF_CA
marseille_2024_0015,2024,0,"Sécurité (BMPM, police, vidéo)","Security (BMPM, police, video)","C’est, tout d’abord, des dépenses afférentes à la Police Municipale, avec la poursuite de la rénovation de l’ex- commissariat de Haïfa",4300000.0,PDF_CA
marseille_2024_0016,2024,0,"Sécurité (BMPM, police, vidéo)","Security (BMPM, police, video)",C’est également l’extension du dispositif de vidéosurveillance,6000000.0,PDF_CA
marseille_2024_0017,2024,0,"Sécurité (BMPM, police, vidéo)","Security (BMPM, police, video)","Il s’agit, par ailleurs, de la mise en sécurité et travaux d’office sur les immeubles en périls relevant de copropriétés privées",3900000.0,PDF_CA
marseille_2024_0018,2024,0,"Sécurité (BMPM, police, vidéo)","Security (BMPM, police, video)","Enfin, elles concernent les dépenses du BMPM",21800000.0,PDF_CA
marseille_2024_0019,2024,0,"Sécurité (BMPM, police, vidéo)","Security (BMPM, police, video)",la création du Centre d’Incendie et de Secours (CIS) Saint Julien,4900000.0,PDF_CA
marseille_2024_0020,2024,0,"Sécurité (BMPM, police, vidéo)","Security (BMPM, police, video)","le renouvellement du matériel commun du BMPM, (notamment les véhicules) et l’acquisition de matériels spécifiques de lutte contre les crises majeures",9700000.0,PDF_CA
marseille_2024_0021,2024,0,"Sécurité (BMPM, police, vidéo)","Security (BMPM, police, video)",une nouvelle dépense initiée pour la restructuration des sites de formation du BMPM,927000.0,PDF_CA
marseille_2024_0022,2024,0,"Sécurité (BMPM, police, vidéo)","Security (BMPM, police, video)",les travaux transverses pour remise aux normes des CIS,2500000.0,PDF_CA
marseille_2024_0023,2024,0,"Environnement, cadre de vie","Environment, living conditions","Les dépenses liées à cette thématique s’établissent à 35,3 M€, en augmentation de 10,7 M€ (",35300000.0,PDF_CA
marseille_2024_0024,2024,0,"Environnement, cadre de vie","Environment, living conditions",L’exercice 2024 est encore marqué par la régularisation de la fin de convention de maîtrise d’ouvrage déléguée par la Métropole pour l’éclairage public,13200000.0,PDF_CA
marseille_2024_0025,2024,0,"Environnement, cadre de vie","Environment, living conditions",Les aménagements paysagers d’accompagnement de la L2 Nord,6000000.0,PDF_CA
marseille_2024_0026,2024,0,"Environnement, cadre de vie","Environment, living conditions","La poursuite du déploiement du plan arbres a représenté 2,5 M€ (+ 1,8 M€)",2500000.0,PDF_CA
marseille_2024_0027,2024,0,"Environnement, cadre de vie","Environment, living conditions","Les chantiers d’amélioration des espaces littoraux, le contrat de baie et la dépollution des sites représentent 2,6 M€ (+ 1,8 M€)",2600000.0,PDF_CA
marseille_2024_0028,2024,0,"Environnement, cadre de vie","Environment, living conditions","Les interventions sur les parcs et jardins (requalifications, renaturations, aménagements, plans de gestion) sont quasiment stables et de l’ordre de 4,5 M€",4500000.0,PDF_CA
marseille_2024_0029,2024,0,"Sports, nautisme, plages","Sports, nautical, beaches",les premiers paiements de la piscine Bougainville (maîtrise d’ouvrage EPEAM),2000000.0,PDF_CA
marseille_2024_0030,2024,0,"Sports, nautisme, plages","Sports, nautical, beaches","la poursuite de la remise à niveau des équipements sportifs sur le territoire marseillais avec à titre d’exemples, le Parc ludico-sportif de La Solidarité pour 1,1 M€ (+ 675 K€), la réhabilitation du Gymnase Massenet",1100000.0,PDF_CA
marseille_2024_0031,2024,0,"Sports, nautisme, plages","Sports, nautical, beaches",l’aménagement de terrains de basket,592000.0,PDF_CA
marseille_2024_0032,2024,0,"Sports, nautisme, plages","Sports, nautical, beaches",les travaux sur les équipements sportifs décentralisés,1800000.0,PDF_CA
marseille_2024_0033,2024,0,"Sports, nautisme, plages","Sports, nautical, beaches","d’autres chantiers terminés, générant des paiements moindres : c’est le cas de la modernisation achevée des stades Saint Henri et Canet Floride",78000.0,PDF_CA
marseille_2024_0034,2024,0,"Urbanisme, habitat","Urban planning, housing","Les dépenses d’acquisitions foncières représentent 4,9 M€ (+ 2,2 M€)",4900000.0,PDF_CA
marseille_2024_0035,2024,0,"Urbanisme, habitat","Urban planning, housing","Les subventions fléchées pour le Développement Social Urbain représentent une dépense de 1,2 M€ (- 384 k€)",1200000.0,PDF_CA
marseille_2024_0036,2024,13,"Social, solidarité, santé","Social, solidarity, health","S’agissant des opérations en matière de lien social, de solidarité et d’action sociale (5,3 M€) en augmentation de 2 M€",5300000.0,PDF_CA
marseille_2024_0037,2024,0,Immobilier et patrimoine,Real estate and heritage,Ces dépenses représentent 7 M€ (,7000000.0,PDF_CA
marseille_2024_0038,2024,0,Immobilier et patrimoine,Real estate and heritage,la mise en sécurité des immeubles municipaux,2500000.0,PDF_CA
marseille_2024_0039,2024,0,Immobilier et patrimoine,Real estate and heritage,"la rénovation énergétique et la gestion technique centralisée des bâtiments de la Ville pour 2,2 M€ (+ 1,8 M€",2200000.0,PDF_CA
marseille_2024_0040,2024,0,Immobilier et patrimoine,Real estate and heritage,"les autres travaux de modernisation ou de rénovation du patrimoine municipal pour un cumul de 2,3 M€ sur de multiples sites",2300000.0,PDF_CA
marseille_2024_0041,2024,0,Attractivité économique,Economic attractiveness,L’attractivité économique représente un volume de dépenses d’investissement de 3 M€,3000000.0,PDF_CA
marseille_2024_0042,2024,0,Attractivité économique,Economic attractiveness,"il s’agit principalement des participations dans le cadre du Contrat de Plan État-Région (CPER) pour près de 1,9 M€ exécutés, de la poursuite du soutien au site paramédical de l’Hôpital Nord",1900000.0,PDF_CA
marseille_2024_0043,2024,0,Attractivité économique,Economic attractiveness,"C’est, enfin, les acquisitions et rénovations de locaux commerciaux pour redynamiser le centre-ville",521000.0,PDF_CA
